@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
       23400.00          0.4450          0.5081 
       23450.00          0.4496          0.5492 
       23500.00          0.4322          0.6030 
       23550.00          0.3291          0.5178 
       23600.00          0.4028          0.5626 
       23650.00          0.4331          0.5596 
       23700.00          0.4299          0.5198 
       23750.00          0.4083          0.4337 
       23800.00          0.4301          0.4665 
       23850.00          0.4151          0.4223 
       23900.00          0.4225          0.3960 
       23950.00          0.3934          0.4047 
       24000.00          0.4335          0.3978 
       24050.00          0.3957          0.4797 
       24100.00          0.4142          0.4559 
       24150.00          0.3794          0.4793 
       24200.00          0.4118          0.4912 
       24250.00          0.3604          0.4947 
       24300.00          0.3643          0.5024 
       24350.00          0.4052          0.5554 
       24400.00          0.4242          0.5805 
       24450.00          0.4738          0.6476 
       24500.00          0.4435          0.6291 
       24550.00          0.3872          0.5717 
       24600.00          0.3968          0.5013 
       24650.00          0.4239          0.4385 
       24700.00          0.3898          0.4250 
       24750.00          0.3913          0.4031 
       24800.00          0.4046          0.3617 
       24850.00          0.3706          0.4403 
       24900.00          0.4218          0.5024 
       24950.00          0.3913          0.5455 
       25000.00          0.3672          0.5386 
       25000.00          0.4136          0.5879 
       25050.00          0.4118          0.5676 
       25100.00          0.4425          0.4376 
       25150.00          0.4224          0.4996 
       25200.00          0.4363          0.3822 
       25250.00          0.4261          0.4829 
       25300.00          0.3930          0.4882 
       25350.00          0.4283          0.4007 
       25400.00          0.4559          0.3984 
       25450.00          0.4133          0.4694 
       25500.00          0.4428          0.5539 
       25550.00          0.4789          0.6132 
       25600.00          0.4524          0.5687 
       25650.00          0.4378          0.5349 
       25700.00          0.4295          0.5622 
       25750.00          0.4255          0.5459 
       25800.00          0.4297          0.5259 
       25850.00          0.4233          0.5231 
       25900.00          0.4026          0.3694 
       25950.00          0.3854          0.4984 
       26000.00          0.4101          0.4075 
       26050.00          0.3948          0.5408 
       26100.00          0.4147          0.6198 
       26150.00          0.4679          0.6666 
       26200.00          0.4220          0.6307 
       26250.00          0.4249          0.5731 
       26300.00          0.4185          0.6175 
       26350.00          0.2892          0.5363 
       26400.00          0.3344          0.5964 
       26450.00          0.4071          0.6332 
       26500.00          0.3550          0.5849 
       26550.00          0.3591          0.5191 
       26600.00          0.3523          0.5341 
       26650.00          0.3722          0.5889 
       26700.00          0.3861          0.5425 
       26750.00          0.3739          0.5824 
       26800.00          0.3409          0.4858 
       26850.00          0.3350          0.4054 
       26900.00          0.3585          0.4679 
       26950.00          0.3363          0.4601 
       27000.00          0.3713          0.4879 
       27050.00          0.3908          0.4625 
       27100.00          0.3954          0.5119 
