@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
       31350.00          0.0741          0.4345 
       31400.00          0.0817          0.4329 
       31450.00          0.0647          0.4500 
       31500.00          0.0654          0.4368 
       31550.00          0.0709          0.4566 
       31600.00          0.1095          0.4396 
       31650.00          0.2200          0.4095 
       31700.00          0.1877          0.4255 
       31750.00          0.1348          0.4463 
       31800.00          0.1249          0.4532 
       31850.00          0.1384          0.4436 
       31900.00          0.1532          0.4340 
       31950.00          0.1134          0.4327 
       32000.00          0.0226          0.4481 
       32050.00          0.0328          0.4476 
       32100.00          0.0598          0.4557 
       32150.00          0.0536          0.4585 
       32200.00          0.0613          0.4279 
       32250.00          0.0681          0.4393 
       32300.00          0.0914          0.4270 
       32350.00          0.0492          0.4425 
       32400.00          0.0650          0.4390 
       32450.00          0.0765          0.4465 
       32500.00          0.0633          0.4578 
       32550.00          0.0857          0.4401 
       32600.00          0.0669          0.4512 
       32650.00          0.0552          0.4373 
       32700.00          0.0931          0.4400 
       32750.00          0.0767          0.4397 
       32800.00          0.0686          0.4475 
       32850.00          0.0552          0.4476 
       32900.00          0.0673          0.4448 
       32950.00          0.0594          0.4493 
       33000.00          0.0546          0.4480 
       33050.00          0.0789          0.4407 
       33100.00          0.1390          0.4061 
       33150.00          0.0693          0.4357 
       33200.00          0.0845          0.4431 
       33250.00          0.0694          0.4303 
       33300.00          0.0571          0.4526 
       33350.00          0.0595          0.4449 
       33400.00          0.0835          0.4447 
       33450.00          0.0622          0.4403 
       33500.00          0.0773          0.4461 
       33550.00          0.0543          0.4424 
       33600.00          0.0248          0.4553 
       33650.00          0.0594          0.4547 
       33700.00          0.0682          0.4386 
       33750.00          0.0844          0.4378 
       33800.00          0.0718          0.4482 
       33850.00          0.1015          0.4374 
       33900.00          0.0721          0.4481 
       33950.00          0.0808          0.4373 
       34000.00          0.0897          0.4368 
       34050.00          0.0600          0.4385 
       34100.00          0.0682          0.4426 
       34150.00          0.0769          0.4456 
       34200.00          0.0600          0.4284 
       34250.00          0.0429          0.4471 
       34300.00          0.0608          0.4393 
       34350.00          0.0476          0.4494 
       34400.00          0.0323          0.4523 
       34450.00          0.0746          0.4501 
       34500.00          0.0453          0.4526 
       34550.00          0.0925          0.4422 
       34600.00          0.0888          0.4353 
       34650.00          0.0784          0.4485 
       34700.00          0.0750          0.4441 
       34750.00          0.0851          0.4455 
       34800.00          0.1004          0.4358 
       34850.00          0.0677          0.4525 
       34900.00          0.1307          0.4198 
       34950.00          0.0872          0.4509 
       35000.00          0.0810          0.4302 
       35050.00          0.1408          0.4253 
       35100.00          0.1282          0.4262 
       35150.00          0.0765          0.4450 
       35200.00          0.0370          0.4458 
       35250.00          0.0372          0.4525 
